CellID,CellStage,CellLabel,CellProtocol
x2_S3c_b1.bcCJDF,3.0,repl,x2
x2_S3c_b1.bcHJWQ,3.0,pdx1,x2
x2_S3c_b1.bcBOCY,3.0,pdx1,x2
x2_S3c_b1.bcDKHM,3.0,pdx1,x2
x2_S3c_b1.bcGHQX,3.0,pdx1,x2
x2_S3c_b1.bcIJIP,3.0,pdx1,x2
x2_S3c_b1.bcEDUQ,3.0,repl,x2
x2_S3c_b1.bcCZFS,3.0,repl,x2
x2_S3c_b1.bcGBCI,3.0,repl,x2
x2_S3c_b1.bcDWVT,3.0,pdx1,x2
x2_S3c_b1.bcDOGG,3.0,pdx1,x2
x2_S3c_b1.bcEKFC,3.0,pdx1,x2
x2_S3c_b1.bcHYXT,3.0,pdx1,x2
x2_S3c_b1.bcAKTS,3.0,repl,x2
x2_S3c_b1.bcFAON,3.0,repl,x2
x2_S3c_b1.bcGFAF,3.0,pdx1,x2
x2_S3c_b1.bcGQYU,3.0,pdx1,x2
x2_S3c_b1.bcEWDF,3.0,pdx1,x2
x2_S3c_b1.bcHVZQ,3.0,repl,x2
x2_S3c_b1.bcHBPW,3.0,repl,x2
x2_S3c_b1.bcDLGL,3.0,pdx1,x2
x2_S3c_b1.bcFYHJ,3.0,pdx1,x2
x2_S3c_b1.bcCOKG,3.0,pdx1,x2
x2_S3c_b1.bcBDHN,3.0,repl,x2
x2_S3c_b1.bcHBEZ,3.0,repl,x2
x2_S3c_b1.bcGXKZ,3.0,repl,x2
x2_S3c_b1.bcHVIB,3.0,pdx1,x2
x2_S3c_b1.bcAGCC,3.0,repl,x2
x2_S3c_b1.bcGLOA,3.0,pdx1,x2
x2_S3c_b1.bcCIQS,3.0,repl,x2
x2_S3c_b1.bcCCFR,3.0,pdx1,x2
x2_S3c_b1.bcEKKU,3.0,pdx1,x2
x2_S3c_b1.bcFMGY,3.0,pdx1,x2
x2_S3c_b1.bcFDYY,3.0,pdx1,x2
x2_S3c_b1.bcGYQZ,3.0,pdx1,x2
x2_S3c_b1.bcDMFK,3.0,repl,x2
x2_S3c_b1.bcICWV,3.0,pdx1,x2
x2_S3c_b1.bcAEWU,3.0,repl,x2
x2_S3c_b1.bcBPYZ,3.0,pdx1,x2
x2_S3c_b1.bcCTTI,3.0,pdx1,x2
x2_S3c_b1.bcEEOI,3.0,pdx1,x2
x2_S3c_b1.bcHHYA,3.0,pdx1,x2
x2_S3c_b1.bcGQVX,3.0,pdx1,x2
x2_S3c_b1.bcHVIX,3.0,pdx1,x2
x2_S3c_b1.bcHCZD,3.0,pdx1,x2
x2_S3c_b1.bcDHLI,3.0,pdx1,x2
x2_S3c_b1.bcGUSX,3.0,pdx1,x2
x2_S3c_b1.bcHDFY,3.0,pdx1,x2
x2_S3c_b1.bcHAXD,3.0,repl,x2
x2_S3c_b1.bcEWMP,3.0,pdx1,x2
x2_S3c_b1.bcACIS,3.0,pdx1,x2
x2_S3c_b1.bcBILU,3.0,pdx1,x2
x2_S3c_b1.bcEJGN,3.0,pdx1,x2
