Gene Symbol,log2 fold-change Start vs. end ,pseudotime 0, pseudotime 1 on SC-beta branch,pseudotime 1 on SC-EC branch,log2 fold-change SC-beta vs. SC-EC,log likelihood of GLM model with pseudotime and branching,"log likelihood of GLM model with pseudotime, but no branching",log likelihood of GLM model without pseudotime or branching,(Pseudotime vs. Reduced) FDR corrected q-value from likelihood ratio test,(Branched vs. Pseudotime) FDR corrected q-value from likelihood ratio test
OLFML2B,0.487890491,0.1,0.152171476,0.20716247,0.178628479,-10787.73249,-10785.93095,-10787.73249,2.4941E-299,0.641951778
ARFGEF2,2.487743873,0.175404284,1.158362635,1.023220825,-0.171253471,-14981.07253,-14979.27135,-14981.07253,1.19974E-68,0.642003271
FCGR2B,0,0.1,0.1,0.1,0,-879.6819169,-877.8807909,-879.6819169,6.13939E-16,0.642003271
HMGCLL1,0.136837441,0.1,0.119832504,0.1,-0.347998831,-2385.157488,-2383.35659,-2385.157488,1.86941E-36,0.642032108
CBLN4,0,0.1,0.1,0.1,0,-128.529028,-126.7282591,-128.529028,3.62107E-13,0.642032108
CRK,-0.126504227,0.451604334,0.411575883,0.42768772,0.035847169,-10605.43469,-10603.63429,-10605.43469,0.119574255,0.642125646
SPSB2,-0.160661514,0.143639797,0.1,0.1,0,-2106.09462,-2104.295001,-2106.09462,0.000729509,0.642388547
ZNF687,-0.156513663,0.148604505,0.126091135,0.155432132,0.245277645,-4458.513447,-4456.71421,-4458.513447,0.033203403,0.642486768
PHF8,-0.296170165,0.531186858,0.425885702,0.3956626,-0.082917844,-11815.28622,-11813.48733,-11815.28622,9.21373E-10,0.642572166
IFI35,0,0.1,0.1,0.1,0,-393.7711974,-391.973216,-393.7711974,1.18187E-09,0.642867192
ZNF251,-0.612754425,0.233495111,0.1152886,0.18895717,0.674039661,-5647.764321,-5645.966436,-5647.764321,0.064950253,0.642867192
INHA,0.00031431,0.1,0.1,0.132663702,0.16842295,-1849.579406,-1847.782712,-1849.579406,0.001549911,0.643241121
INCENP,-0.007440968,0.108144778,0.1,0.1,0,-1592.089794,-1590.293048,-1592.089794,4.34952E-08,0.643241121
TMEM170B,-0.445961499,0.207241043,0.119840881,0.1,-0.285462176,-4364.45941,-4362.662885,-4364.45941,7.88192E-08,0.643251163
SNORD104,0,0.1,0.1,0.1,0,-689.0063346,-687.210213,-689.0063346,0.00031663,0.643358652
PEF1,0.852170767,0.675546122,1.120601537,1.417971522,0.308408419,-19898.31225,-19896.517,-19898.31225,9.2861E-21,0.643644299
SLC12A1,0,0.1,0.1,0.1,0,-134.5049111,-132.7103419,-134.5049111,0.700808936,0.643644299
SLITRK4,-1.923841589,0.459181145,0.1,0.1,0,-2808.200063,-2806.405345,-2808.200063,8.67181E-68,0.643644299
PDLIM2,0.337232915,0.1,0.107036393,0.155525333,0.43977272,-2288.612446,-2286.817774,-2288.612446,0.000606911,0.643644299
SPHK1,-0.895262463,0.179081006,0.1,0.1,0,-571.9053582,-570.1103532,-571.9053582,2.06049E-28,0.643644299
KLHL28,0.96141617,0.237051181,0.541164741,0.398567823,-0.405093731,-11180.97039,-11179.1756,-11180.97039,3.50791E-16,0.643644299
NRCAM,0.735455908,0.154155048,0.176611011,0.307407842,0.743596849,-4764.961092,-4763.166997,-4764.961092,2.54441E-05,0.643734123
ADGRG1,0,0.1,0.101165104,0.1,-0.003342348,-2636.411671,-2634.617688,-2636.411671,7.2338E-13,0.643734123
XYLT1,2.101014643,0.1,0.43201729,0.449931935,0.065993845,-6574.531672,-6572.73775,-6574.531672,1.55492E-38,0.643734123
BICDL2,0,0.1,0.1,0.1,0,-974.1509725,-972.3579743,-974.1509725,0.000262035,0.644055248
MGME1,-2.151492162,0.510477665,0.1,0.1,0,-3468.232925,-3466.440156,-3468.232925,6.04373E-39,0.644055248
RHBDD1,-0.017680305,0.1,0.1,0.1,0,-3594.798014,-3593.0053,-3594.798014,1.52996E-05,0.644055248
CCDC77,-1.175504119,0.209588631,0.103320585,0.1,-0.01392537,-4586.096376,-4584.304419,-4586.096376,2.44486E-27,0.644308967
FALEC,0,0.1,0.1,0.1,0,-168.987051,-167.1952736,-168.987051,0.793971054,0.644323874
DDX24,0.990240873,0.988226666,2.00981606,2.42843887,0.23356734,-29960.32445,-29958.53285,-29960.32445,1.67812E-47,0.644336723
NCBP1,-0.151649548,0.348064114,0.356651604,0.416678169,0.204931201,-12542.21543,-12540.42403,-12542.21543,3.64511E-20,0.644358818
DNAL4,-0.679661751,0.741648399,0.421338189,0.544711269,0.347820293,-15761.056,-15759.26598,-15761.056,3.14284E-36,0.644668811
TCEAL5,0,0.1,0.1,0.1,0,-926.1176603,-924.3274619,-926.1176603,0.029480171,0.644668811
ABL1,-0.025851501,1.521229957,1.587328559,1.656498577,0.064298636,-31968.48067,-31966.69073,-31968.48067,1.12806E-35,0.644668811
RPL36A,-1.771158884,14.58111368,4.608536894,4.204430719,-0.134545685,-55107.98195,-55106.19183,-55107.98195,2.4941E-299,0.644668811
PCSK6,0,0.1,0.1,0.1,0,-731.5745013,-729.7844414,-731.5745013,2.94297E-13,0.644668811
USP44,-2.232687242,0.644280313,0.1,0.1,0,-3090.224395,-3088.435066,-3090.224395,1.83466E-47,0.644802722
ARHGEF35,-0.137932024,0.165846818,0.1,0.1,0,-1613.315086,-1611.525624,-1613.315086,5.72185E-05,0.644802722
TCTN3,-1.181362293,0.721721704,0.349889215,0.2964069,-0.211411172,-12466.47251,-12464.68332,-12466.47251,8.02753E-13,0.644803912
MASP2,0,0.1,0.1,0.1,0,-524.1849255,-522.3959593,-524.1849255,9.29419E-05,0.64483386
KIAA1143,-0.879901724,0.408368824,0.210957745,0.267997399,0.291424223,-8283.827835,-8282.03906,-8283.827835,7.39578E-06,0.644853512
IFNGR1,0.940010683,0.428532204,0.930227927,0.695650069,-0.393173797,-12887.46003,-12885.67141,-12887.46003,5.11431E-17,0.644860595
MOK,0.586312868,0.109255947,0.137786802,0.217072245,0.618922134,-8378.909009,-8377.120735,-8378.909009,2.96339E-28,0.644942152
ZNF721,0.244883179,0.244995887,0.212675251,0.271413085,0.325361042,-6475.68091,-6473.893525,-6475.68091,0.763394616,0.64525073
VPS37D,0.546076553,0.1,0.117306025,0.163456851,0.452302832,-4983.958095,-4982.171385,-4983.958095,8.53162E-05,0.645470417
LBX2,0,0.1,0.1,0.1,0,-393.9574231,-392.1709623,-393.9574231,0.001693162,0.64551437
FAM167B,0,0.1,0.1,0.1,0,-323.0889432,-321.3026914,-323.0889432,0.008621515,0.645541514
WNK1,0.654447516,0.94024022,1.557555515,1.606500764,0.02164304,-23495.01097,-23493.22567,-23495.01097,3.15714E-17,0.645658018
VPS37B,0.447475523,0.27826997,0.410232859,0.428140387,0.036721637,-9630.748954,-9628.963701,-9630.748954,0.10929838,0.645658018
MRPL12,0.388099517,0.385913211,0.493494375,0.569595956,0.19523977,-13572.07301,-13570.28765,-13572.07301,1.0502E-06,0.645658018
ERBB3,-1.747224764,3.620768433,0.814076041,1.003077538,0.242819634,-15947.25708,-15945.47154,-15947.25708,2.2514E-178,0.645658018
TCTEX1D2,-0.83151571,0.378777623,0.227767724,0.264819877,0.212670606,-10335.24915,-10333.4638,-10335.24915,5.56667E-07,0.645658018
MFNG,2.7183018,0.1,0.686790847,0.777937236,0.060914868,-7353.557115,-7351.772075,-7353.557115,5.43639E-88,0.645687271
PTPMT1,-0.13817391,0.789901493,0.671188598,0.745268185,0.138555198,-17768.61247,-17766.82774,-17768.61247,0.399932391,0.645755644
CLHC1,0,0.111933503,0.1,0.1,0,-3220.636496,-3218.852338,-3220.636496,7.69499E-05,0.645933279
TFF1,0,0.1,0.1,0.1,0,-897.8218684,-896.0390393,-897.8218684,8.25115E-20,0.646424161
RPL4,-1.31954742,16.16745341,6.668648048,6.107301176,-0.12665011,-58391.3065,-58389.52418,-58391.3065,2.4941E-299,0.646455558
POLG2,0,0.102976453,0.1,0.1,0,-2346.497009,-2344.714611,-2346.497009,0.003528341,0.646455558
SIDT2,1.864203449,0.419472294,1.576177215,1.56120717,-0.028651508,-19037.01912,-19035.23709,-19037.01912,2.2741E-134,0.646455558
ZNF835,0,0.1,0.1,0.1,0,-706.316159,-704.5340678,-706.316159,0.195276929,0.646455558
KLF9,0,0.1,0.1,0.1,0,-1657.738512,-1655.956134,-1657.738512,0.056510117,0.646455558
WAPL,-0.819875358,0.854062318,0.449485684,0.5533406,0.273158743,-14998.10725,-14996.32565,-14998.10725,1.63232E-15,0.646518797
CHAC2,0,0.1,0.1,0.1,0,-1888.216636,-1886.43497,-1888.216636,0.000227268,0.646518797
DDX51,0,0.1,0.1,0.1,0,-709.9533903,-708.17227,-709.9533903,0.229333917,0.646656817
GIN1,0,0.1,0.1,0.1,0,-1186.359598,-1184.578684,-1186.359598,0.790328227,0.646682895
SUGT1,0.044973575,0.744645349,0.879188572,0.680822648,-0.326941895,-18760.97446,-18759.19515,-18760.97446,1.07418E-07,0.64717588
TMUB2,-0.000873051,0.41372956,0.311835027,0.416606391,0.362012659,-8554.649646,-8552.870352,-8554.649646,1.90441E-08,0.64717588
GPR3,0,0.1,0.1,0.1,0,-473.1635918,-471.3842979,-473.1635918,6.55584E-06,0.64717588
ITGB1BP2,0,0.1,0.1,0.1,0,-136.0145991,-134.2361967,-136.0145991,0.009127615,0.647358017
SLC45A4,-0.89630128,0.286398463,0.182863526,0.126297746,-0.498224884,-5986.895741,-5985.117219,-5986.895741,0.004235286,0.647358017
VPS33A,0.281472774,0.33256161,0.335192512,0.49360429,0.51507896,-9152.029116,-9150.250835,-9152.029116,1.19976E-10,0.647358017
ITFG2,-1.143426522,0.162861752,0.12836011,0.108928927,-0.229819839,-5042.999557,-5041.220954,-5042.999557,1.50924E-07,0.647358017
SKA2,-1.846770606,1.220440791,0.275733215,0.240553749,-0.166241838,-9025.518342,-9023.74027,-9025.518342,5.03924E-36,0.647385386
TBC1D10B,1.127683301,0.385273081,0.698774008,0.838901959,0.24758794,-14325.03593,-14323.25857,-14325.03593,1.16944E-38,0.647576192
GRAP2,0,0.1,0.1,0.1,0,-1268.378161,-1266.60098,-1268.378161,1.43241E-15,0.647576192
NAV1,1.683741648,0.876058073,2.761043453,3.156350855,0.17583625,-29739.94949,-29738.1723,-29739.94949,2.2841E-149,0.647576192
FAM83H,-1.163770572,0.645384721,0.260057194,0.32255476,0.269497896,-8775.40967,-8773.63279,-8775.40967,2.46811E-19,0.647641398
TINF2,-0.128190533,0.631135617,0.486356837,0.571050401,0.210884875,-12068.37465,-12066.5986,-12068.37465,0.018151929,0.647924752
NSMCE1,-0.539603219,0.430169929,0.304142642,0.284870298,-0.080920078,-8053.62991,-8051.854952,-8053.62991,1.41203E-18,0.648319321
SAYSD1,1.21882809,0.353198084,0.916205509,0.730595107,-0.299875603,-12249.24694,-12247.4726,-12249.24694,1.26771E-47,0.648471193
RSF1,0.152384324,1.480526942,1.574964683,1.870585235,0.212339571,-26335.47201,-26333.69771,-26335.47201,0.037308533,0.648471193
PPP2R5E,-0.231222399,1.085587628,0.928753167,0.891836222,-0.062821963,-21185.64392,-21183.86991,-21185.64392,1.69236E-08,0.648533755
TSC22D2,0.221601296,0.475080431,0.579658562,0.412984862,-0.450291105,-9996.93889,-9995.165681,-9996.93889,2.63351E-08,0.648807155
TAS2R30,0,0.1,0.1,0.1,0,-310.1945911,-308.4216536,-310.1945911,0.564682588,0.648860395
MED24,0.278443856,0.817808069,1.071878208,0.900641363,-0.219264311,-19381.28345,-19379.51117,-19381.28345,0.000581818,0.649074893
HOMER3,-2.578068113,0.891081478,0.127640673,0.162153772,0.333797117,-13224.56548,-13222.79371,-13224.56548,2.9416E-156,0.649226731
SNRPA1,-0.786411337,0.682273805,0.36957986,0.415421934,0.173958291,-13903.00034,-13901.22917,-13903.00034,5.12526E-20,0.649295936
CCDC183,0,0.1,0.1,0.1,0,-588.6279888,-586.8567595,-588.6279888,0.112968399,0.649295936
PKD1,0.76977879,0.147530133,0.224254746,0.355534383,0.602566266,-7774.093432,-7772.322228,-7774.093432,9.13624E-05,0.649295936
AMDHD2,-0.226348636,0.130928135,0.1,0.1,0,-2701.984821,-2700.213901,-2701.984821,0.010428415,0.649340661
ZNF268,-0.165476014,0.263233537,0.225386622,0.258714282,0.18923968,-8155.117194,-8153.346613,-8155.117194,4.57699E-07,0.649382621
PRKAR2B,-0.91882848,0.191278909,0.1,0.1,0,-4576.442772,-4574.67224,-4576.442772,7.45506E-06,0.649382621
USP22,-0.269651947,5.697307527,4.68849935,4.573460138,-0.020269957,-49810.03068,-49808.26086,-49810.03068,1.86127E-11,0.649506922
TLE3,-0.113892285,1.066838445,0.806155279,1.024634312,0.33444171,-18642.85915,-18641.08909,-18642.85915,4.38366E-35,0.649506922
TESK2,0,0.1,0.1,0.1,0,-2032.492376,-2030.722573,-2032.492376,0.000149903,0.649506922
FN3KRP,-0.974439122,0.740911947,0.330522556,0.263523202,-0.297249215,-7803.81358,-7802.044129,-7803.81358,6.5412E-13,0.649593866
USP19,0.088101417,0.421989997,0.545192557,0.508082863,-0.128250531,-13034.73319,-13032.96397,-13034.73319,2.2765E-08,0.649630473
MRPL40,0.050339278,0.225891773,0.223241951,0.184445108,-0.201979151,-6339.849434,-6338.080367,-6339.849434,0.064488498,0.649634051
SCARNA5,0,0.1,0.1,0.1,0,-108.540989,-106.7721883,-108.540989,0.824434851,0.649685133
DZIP3,0.953516591,0.366315267,0.834170729,0.728754111,-0.191697345,-17160.64682,-17158.87928,-17160.64682,1.19785E-26,0.650150414
NPTXR,1.782581058,0.1,0.305806659,0.357201178,0.21341687,-6538.171516,-6536.404208,-6538.171516,3.72688E-49,0.650185768
LAMTOR3,0.138861329,0.730349305,0.848035317,0.77514037,-0.130964904,-17987.29042,-17985.52424,-17987.29042,0.012553269,0.650595567
NCEH1,0,0.1,0.1,0.1,0,-475.159946,-473.394801,-475.159946,0.043706325,0.650958331
CMTM4,0.272540284,0.703180916,0.699404225,0.891010688,0.322918717,-14098.55054,-14096.78552,-14098.55054,9.25322E-29,0.650958331
SYT10,0,0.1,0.1,0.1,0,-144.2758825,-142.5112035,-144.2758825,0.030851712,0.650980368
TMEM39B,0.31211677,0.272534738,0.253096418,0.355122913,0.423980517,-6869.334548,-6867.569776,-6869.334548,0.082129719,0.650980368
SF3B6,-0.525666907,1.213047504,0.876266763,0.956790591,0.120088771,-23360.45969,-23358.69617,-23360.45969,1.87828E-35,0.651400569
RSBN1L,0.056520925,0.511351432,0.695775744,0.529258808,-0.389997405,-13230.22421,-13228.46138,-13230.22421,5.59102E-07,0.65162854
COL4A3,0,0.1,0.1,0.1,0,-148.3267272,-146.5643762,-148.3267272,0.000752186,0.651769359
SLC25A6,-0.269034926,4.15537112,3.28306077,3.450369551,0.068774701,-40699.24641,-40697.485,-40699.24641,2.40331E-15,0.652083918
DDIAS,-0.278247564,0.182287373,0.1,0.1,0,-1146.497909,-1144.736601,-1146.497909,6.03781E-15,0.652083918
YARS2,-0.023975132,0.157183211,0.113502324,0.14978325,0.348935601,-4337.306409,-4335.545366,-4337.306409,0.109362862,0.652134334
CEP89,0.179512897,0.129650014,0.127019781,0.188842537,0.526652255,-5493.96723,-5492.206478,-5493.96723,0.265628814,0.652136205
MON1B,-0.477649779,0.154657353,0.150754947,0.1,-0.535374395,-4701.82824,-4700.067468,-4701.82824,0.530844157,0.652136205
TONSL,0,0.1,0.1,0.1,0,-309.7094214,-307.9489205,-309.7094214,0.002313475,0.652181245
POGK,-0.951781886,0.693194893,0.380657863,0.304215446,-0.255254733,-11699.83522,-11698.07524,-11699.83522,1.02731E-09,0.652272175
AP2A1,-0.414488651,0.742866272,0.51046442,0.52355899,0.026729193,-11345.28161,-11343.52176,-11345.28161,8.49455E-13,0.652272175
SLC22A1,0,0.138773342,0.1,0.1,0,-168.8635607,-167.1036572,-168.8635607,0.280313065,0.652272175
CHCHD3,-0.28024701,0.696149807,0.599990687,0.653070222,0.127859849,-16904.39976,-16902.64013,-16904.39976,0.005241092,0.652305734
ARHGEF37,0,0.1,0.1,0.1,0,-817.6193953,-815.8601635,-817.6193953,0.001998907,0.652411165
HMGN5,-0.30179138,0.154971636,0.1,0.1,0,-3035.372342,-3033.613431,-3035.372342,0.000322851,0.652484889
C14orf37,-0.899127356,0.184857269,0.1,0.1,0,-3397.870948,-3396.112231,-3397.870948,2.56388E-26,0.652506208
CEP350,0.615327092,0.455997987,0.887961284,0.77399753,-0.19497378,-16162.08597,-16160.328,-16162.08597,2.17352E-05,0.652756309
ARAF,-0.661301247,0.285448517,0.195877233,0.160607994,-0.294151989,-5037.487646,-5035.729921,-5037.487646,1.07524E-07,0.652799873
RTN4R,-0.962878436,0.181326014,0.1,0.1,0,-4953.411963,-4951.654743,-4953.411963,2.31556E-13,0.652950224
RNF166,-0.291626715,0.170979676,0.167930027,0.104999722,-0.600982568,-4734.081912,-4732.325446,-4734.081912,0.845172199,0.653204123
TIPARP,-0.095960716,0.520384067,0.370195995,0.510998185,0.407308527,-8207.773291,-8206.017187,-8207.773291,6.47659E-23,0.653295681
STAT2,-1.486653562,0.619664845,0.232594934,0.201961478,-0.206449922,-8328.529779,-8326.773881,-8328.529779,3.05292E-18,0.653321563
PRX,0,0.1,0.1,0.1,0,-364.3290323,-362.573818,-364.3290323,0.040411724,0.65354654
SUSD6,0.084944377,0.197719072,0.195341844,0.253139063,0.310841069,-6275.367083,-6273.61298,-6275.367083,2.95677E-47,0.653949823
CDC37L1,0.163682843,0.339297471,0.408186092,0.328839098,-0.322967635,-6684.251813,-6682.498356,-6684.251813,1.19215E-06,0.654152274
KHK,0,0.1,0.1,0.110480796,0.208743766,-1833.478677,-1831.725347,-1833.478677,1.09706E-36,0.654152274
C18orf54,-0.113706619,0.103303032,0.1,0.1,0,-1140.710529,-1138.95743,-1140.710529,2.14923E-10,0.654189054
SEMA4A,0,0.1,0.1,0.1,0,-166.6459176,-164.8930128,-166.6459176,0.144379308,0.654210085
FRY,2.706606196,0.1,0.64142611,0.683171377,0.069600059,-11738.29882,-11736.54809,-11738.29882,2.1356E-123,0.654637681
PLK4,-1.325307624,0.194383016,0.1,0.1,0,-1435.951236,-1434.200224,-1435.951236,7.85871E-53,0.654637681
RIMS1,0,0.1,0.1,0.1,0,-325.8352858,-324.0841504,-325.8352858,0.413007412,0.654637681
ERI2,-0.928354224,0.22506274,0.1,0.1,0,-1902.690928,-1900.94015,-1902.690928,2.89174E-17,0.654637681
SLC43A1,-0.117864874,0.121627434,0.1,0.1,0,-2897.317434,-2895.566571,-2897.317434,0.218717489,0.654637681
FAM229B,-0.736271858,0.135307704,0.1,0.1,0,-4334.748594,-4332.997349,-4334.748594,3.70188E-12,0.654637681
EIF2B4,0.196668142,0.274932838,0.245013933,0.2989956,0.302466347,-7410.873636,-7409.122248,-7410.873636,0.005699485,0.654637681
ASRGL1,-0.615525305,0.688213548,0.384385235,0.456432391,0.263165741,-12621.42961,-12619.67902,-12621.42961,0.004885629,0.654637681
SHBG,0,0.1,0.1,0.1,0,-338.0215224,-336.2703481,-338.0215224,0.088184138,0.654637681
MBD4,-0.218957827,0.356783913,0.229069326,0.341680591,0.536593223,-9401.01604,-9399.266536,-9401.01604,0.113640936,0.655030087
ZNF138,0,0.1,0.1,0.1,0,-1734.667839,-1732.918631,-1734.667839,0.006867991,0.655071879
FBXL20,-0.034916589,0.303144455,0.30653567,0.389348118,0.288505738,-10482.0286,-10480.27948,-10482.0286,5.7118E-22,0.655071879
CNN1,0,0.1,0.1,0.1,0,-373.2445702,-371.4957932,-373.2445702,0.274100547,0.655145021
PNMAL2,0,0.1,0.1,0.1,0,-640.159956,-638.4113002,-640.159956,0.075909541,0.655145021
PHF20L1,0.537695762,0.312519329,0.43300956,0.563518546,0.324335212,-11635.05713,-11633.30965,-11635.05713,1.14656E-06,0.655574744
UBAP1L,0,0.1,0.1,0.1,0,-367.5092673,-365.7624371,-367.5092673,0.704842381,0.655752376
DDX47,0,0.1,0.1,0.1,0,-222.7794097,-221.0326403,-222.7794097,0.151739457,0.655752376
CLNS1A,-1.202907473,1.254665912,0.504160392,0.554734374,0.127837449,-18548.03002,-18546.28465,-18548.03002,2.72348E-80,0.656277371
NAGK,0.213850024,0.531159696,0.592194723,0.733374037,0.276338569,-12717.35058,-12715.6055,-12717.35058,6.49506E-08,0.656281671
RGL3,-0.403654764,0.491135941,0.336729167,0.344418704,0.00823427,-9207.565641,-9205.820571,-9207.565641,0.004436119,0.656281671
ZNF692,-0.574583172,0.181852159,0.154112245,0.10137101,-0.512976632,-5228.998047,-5227.253242,-5228.998047,0.032819718,0.656332812
WDR37,0.806997907,0.147560098,0.21519386,0.274868897,0.321207299,-5906.448256,-5904.70366,-5906.448256,0.005035631,0.656360427
YOD1,-0.120849618,0.262100743,0.205170135,0.197001244,-0.055083816,-5534.594291,-5532.850423,-5534.594291,0.22176469,0.656604415
EHD3,0,0.1,0.1,0.1,0,-2635.913102,-2634.169939,-2635.913102,0.007807959,0.656838842
NMT2,-2.558636026,0.602905412,0.1,0.1,0,-5643.309911,-5641.568079,-5643.309911,1.17933E-38,0.657239954
ATP1A1,0.780261805,1.676215513,3.19732633,3.54905797,0.10464559,-41093.58458,-41091.84295,-41093.58458,1.1161E-263,0.657239954
RNU6-703P,0,0.1,0.1,0.1,0,-148.294508,-146.5528315,-148.294508,0.922345193,0.657239954
TSPYL1,-0.636748212,1.779043765,1.083767932,0.931371068,-0.203803261,-18167.63437,-18165.89274,-18167.63437,2.80155E-34,0.657239954
ST3GAL5,0.899464703,0.102022153,0.182246552,0.285056304,0.572773093,-8056.064896,-8054.32373,-8056.064896,9.96784E-42,0.657320161
ADAP1,0,0.1,0.1,0.1,0,-1756.990673,-1755.249523,-1756.990673,4.69731E-06,0.657320161
CRLF1,0,0.1,0.1,0.1,0,-464.0683269,-462.3274221,-464.0683269,1.04747E-10,0.65736292
TCAP,0,0.1,0.1,0.1,0,-350.0383494,-348.2987148,-350.0383494,0.00064593,0.657833536
UBAP2,-0.045332834,0.656662735,0.657482577,0.783558958,0.227994481,-17796.48865,-17794.74949,-17796.48865,0.00012112,0.65794921
RAP1GAP2,2.172501921,0.482099623,3.146739206,2.876278387,-0.14721419,-38242.53153,-38240.79275,-38242.53153,2.4941E-299,0.65794921
PLEKHF1,-0.232216988,0.129292429,0.1,0.1,0,-2330.016165,-2328.277368,-2330.016165,1.94216E-05,0.65794921
INTS12,-0.155732651,0.1,0.1,0.1,0,-3524.618571,-3522.879591,-3524.618571,3.52517E-05,0.65794921
BAG1,0.892334311,0.606956972,1.255719169,1.417274918,0.15883586,-24532.49794,-24530.75934,-24532.49794,4.08741E-37,0.657967044
ADA,0,0.1,0.1,0.1,0,-1514.766114,-1513.02788,-1514.766114,6.80419E-11,0.658059591
CSNK2B,0.448678133,0.751178909,0.922578512,1.014049523,0.134403631,-19117.83908,-19116.10133,-19117.83908,9.20506E-06,0.658202393
PSMD12,0.403553415,0.698072774,0.887688211,1.01992784,0.191820164,-19840.09544,-19838.35832,-19840.09544,4.56639E-06,0.65840592
CRHBP,0,0.1,0.1,0.1,0,-1141.251612,-1139.515387,-1141.251612,2.62681E-54,0.658599955
CAMK2A,0,0.1,0.1,0.1,0,-882.2258836,-880.4894433,-882.2258836,1.83037E-20,0.658599955
SNORA80A,0,0.1,0.1,0.1,0,-126.162893,-124.4265874,-126.162893,0.345670609,0.658599955
LYZ,0,0.1,0.1,0.1,0,-8007.650477,-8005.91453,-8007.650477,2.5748E-299,0.658656158
SH2D3C,3.219590121,0.1,0.791970857,1.039963561,0.372060362,-10703.8098,-10702.07442,-10703.8098,1.4844E-223,0.658833761
WDR33,-0.087411456,1.107533535,1.09659319,0.977237549,-0.163852153,-20949.01835,-20947.28349,-20949.01835,0.00892701,0.658992432
SLC25A30,-0.068541788,0.1,0.1,0.1,0,-1396.213291,-1394.478589,-1396.213291,1.3501E-05,0.658997107
SDCBP,0.383356182,1.636341913,2.163637765,1.962856258,-0.117393316,-33080.53852,-33078.80404,-33080.53852,3.85094E-38,0.659028152
DOK1,-0.496201809,0.144559265,0.118847578,0.1,-0.217591556,-3220.327109,-3218.593665,-3220.327109,0.00415256,0.659283523
SNHG17,-0.120315474,0.24319967,0.280156447,0.205087019,-0.414549088,-6774.37228,-6772.6387,-6774.37228,0.830133436,0.659283523
MARC1,-2.350762762,0.505475231,0.1,0.1,-0.054632322,-7130.465882,-7128.732252,-7130.465882,2.8868E-26,0.659283523
MCHR1,0,0.1,0.1,0.1,0,-421.2983904,-419.5651695,-421.2983904,1.40052E-07,0.659316982
PDE11A,-2.158037455,0.629774465,0.1,0.1,0,-3332.482762,-3330.749766,-3332.482762,2.9588E-103,0.659351519
C1GALT1C1,1.553189236,0.182046674,0.5099593,0.454224233,-0.163812763,-8499.773169,-8498.040913,-8499.773169,2.11713E-25,0.659600949
DCPS,0.224634496,0.151454215,0.1593108,0.181825848,0.132457432,-4994.557172,-4992.825541,-4994.557172,0.011238388,0.659802264
MEX3B,-1.373769468,0.321149912,0.1,0.1,0,-3155.814216,-3154.082778,-3155.814216,9.78494E-19,0.659823258
TEP1,0,0.1,0.1,0.1,0,-1430.47232,-1428.741411,-1430.47232,0.194561194,0.659984284
FSCN3,0,0.1,0.1,0.1,0,-348.5838592,-346.8533304,-348.5838592,0.124802299,0.66002374
RALGAPA1,0.740546605,0.502899212,0.91811464,0.753425435,-0.26957826,-14711.21776,-14709.48717,-14711.21776,4.49235E-09,0.66002374
NUDT16L1,0.238346974,0.503026889,0.508021466,0.552254308,0.134157954,-14315.30641,-14313.57779,-14315.30641,1.63295E-12,0.660762336
FJX1,-0.079846908,0.298007306,0.397541433,0.288109586,-0.454538575,-8442.921786,-8441.194072,-8442.921786,3.34023E-31,0.661081723
MYPOP,0.389337305,0.161485363,0.154375764,0.227798319,0.537590717,-5330.043265,-5328.316021,-5330.043265,9.65691E-06,0.66110871
RSPH1,-0.321677875,0.1,0.1,0.1,0,-7880.018799,-7878.291322,-7880.018799,3.60083E-55,0.66110871
ZBTB22,-0.703054585,0.167590204,0.1,0.1,0,-3730.477792,-3728.750715,-3730.477792,0.000162454,0.66110871
CCNL2,-0.378150794,1.342288234,1.225021288,0.989778581,-0.286222753,-23545.148,-23543.4209,-23545.148,2.0139E-19,0.66110871
NMB,-0.649528745,0.194821957,0.1,0.146686784,0.557401704,-3855.533821,-3853.808841,-3855.533821,3.3972E-10,0.66192737
TXLNA,1.276666857,0.585725306,1.607824348,1.530187576,-0.085685065,-22648.10709,-22646.38313,-22648.10709,5.68133E-42,0.66229466
WDR82,-0.558728449,0.69320339,0.366042145,0.428263654,0.201612679,-11220.09342,-11218.36976,-11220.09342,0.000136369,0.662314423
BCHE,0,0.1,0.1,0.1,0,-269.4410016,-267.7173754,-269.4410016,0.90406889,0.662314423
TNRC6C,-0.192209739,0.288182757,0.332438823,0.277432333,-0.245985909,-13100.22227,-13098.49965,-13100.22227,9.23687E-40,0.662618426
DNAI2,0,0.1,0.1,0.1,0,-631.4655035,-629.7427571,-631.4655035,1.18955E-11,0.662618426
RAB5A,0.619029246,0.656191302,0.913351688,0.912476158,-0.000444238,-17104.06586,-17102.34345,-17104.06586,4.37505E-10,0.662646863
CRY1,0.519069189,0.279069334,0.403677454,0.332368612,-0.258819976,-9433.115391,-9431.393543,-9433.115391,3.503E-05,0.662694185
SLC38A2,-1.253029427,2.725983559,1.17371777,1.019898355,-0.196662827,-20131.07917,-20129.35759,-20131.07917,8.54169E-94,0.662694185
SNORA11,0,0.1,0.1,0.1,0,-202.5567429,-200.8347422,-202.5567429,0.377685516,0.662694185
HINFP,-0.966390924,0.187467537,0.116652854,0.1,-0.223476088,-4483.516655,-4481.794791,-4483.516655,0.002928183,0.662694185
