Gene Symbol,"log2 fold-change Start vs. end of PDT trajectory","expression (tpm) at pseudotime 0","expression (tpm) at pseudotime 1","log likelihood of GLM model with pseudotime","log likelihood of GLM model without pseudotime","FDR corrected q-value from likelihood ratio test"
PANK3,-0.184298294,205.3934866,179.9291473,-17700.99111,-17706.09289,0.041324326
AK9,-0.116204178,12.4054642,11.83047134,-2584.850618,-2589.95194,0.04133427
HELZ,-0.069989706,107.5097266,101.9211925,-12916.7467,-12921.84772,0.041338452
SPICE1,-0.421194177,13.89382286,10,-1521.05171,-1526.150674,0.041409204
ZFP90,-0.193032873,41.2921937,35.96993786,-6787.230095,-6792.326189,0.041511088
SLC1A3,0,10,10,-372.9172583,-378.0100909,0.041628119
CPSF1,-0.569627785,75.11403976,49.13263732,-8413.537175,-8418.627597,0.041712906
PLEKHG1,0,10,10,-1449.911962,-1455.001813,0.041727461
FBXO28,-0.26618785,41.49924111,35.22348274,-5275.429885,-5280.518976,0.041749234
FAM104A,0.3335604,58.77802023,75.31490065,-9424.502462,-9429.58986,0.041806784
BAIAP2,-0.24150683,113.285197,96.20399051,-11401.24527,-11406.33218,0.041818245
BIK,0,10,10,-622.3447706,-627.4284505,0.041927542
SAYSD1,-0.457639033,93.01806343,66.56035517,-9558.118222,-9563.201993,0.041927542
EFNB3,-0.27125998,95.93187974,79.25762073,-10984.6549,-10989.73833,0.041929644
CDK13,-0.4699961,58.56448513,41.32418754,-7419.225908,-7424.307482,0.041993896
UHMK1,-0.000173531,28.42493421,27.76896973,-5356.687631,-5361.766438,0.042093178
G6PD,-0.264229206,49.38769378,41.68069327,-6711.092323,-6716.170118,0.042124873
MCAM,0,10,10,-237.7945824,-242.8711009,0.042166845
SUSD6,0.967470515,10.06148875,20.36610833,-2857.623403,-2862.699201,0.042187324
TTC9,0.096732935,10,10.99585275,-1233.479062,-1238.552412,0.042274726
PSMC2,0.387477056,68.5772825,92.52326476,-10613.32374,-10618.39658,0.042287369
DCAF10,-0.271642483,79.0363008,65.90116125,-8935.510686,-8940.581323,0.042365201
FYN,-0.365899026,145.7404723,111.2422495,-13532.94151,-13537.99925,0.04285449
PDE4D,0.637340849,10.00639717,15.94555153,-2733.021427,-2738.078964,0.04285449
PMPCA,-0.857364388,27.63247797,13.80863494,-3988.378827,-3993.436517,0.04285449
SMG1,-0.503477502,74.89732094,51.83788411,-8378.677455,-8383.733865,0.042891306
PFDN6,-0.536484093,31.50836709,21.61657314,-4742.797623,-4747.852854,0.042930174
ABCD3,0.20640312,81.60216265,93.95770769,-11271.2171,-11276.27037,0.042999915
KIF16B,-0.007095367,29.62168063,29.98665953,-3554.764481,-3559.817232,0.043012849
ILVBL,-0.330843258,46.92698905,37.67028768,-6040.667225,-6045.719599,0.043020216
RAD18,0,10,10,-336.0154871,-341.0674106,0.043030456
PDE4B,0,10,10,-393.8790835,-398.9305888,0.043039448
THRAP3,-0.085291321,120.6917714,114.6938502,-13643.01525,-13648.06648,0.043042632
SMCHD1,-0.3571855,44.73966909,34.15817766,-6890.862881,-6895.909694,0.04320986
OBSCN,0,10,10,-551.1630623,-556.208056,0.043274397
ANKRD12,-0.112358664,121.652829,109.9201189,-13399.85042,-13404.89515,0.043277116
SHPRH,-0.478500086,40.86796152,29.01860402,-5786.408623,-5791.449681,0.043415621
PTPRU,0.280838594,12.67379419,15.04777725,-2340.205502,-2345.245856,0.043430206
SPAG4,0,10,10,-388.864192,-393.9045028,0.043430206
RBM44,0,10,10,-266.5706754,-271.6104383,0.043444449
INAFM2,0.465070603,24.94527265,37.17093037,-5092.14064,-5097.179973,0.043453971
AFAP1L2,0,10,10,-381.3157655,-386.3544315,0.04346543
PLD5,0.660897371,11.54309104,18.96631213,-3278.948835,-3283.98768,0.04346543
ZNF771,0.599992384,16.21609903,25.41159842,-4184.334144,-4189.37079,0.043538349
FAM207A,-0.456195032,15.31597818,10.77757039,-1595.447979,-1600.483573,0.043572775
PGM3,-0.354799529,36.23662192,26.38849944,-4392.183557,-4397.218768,0.043580486
HECW2,-0.976940668,28.01231786,13.11417276,-3792.873252,-3797.906997,0.043631445
ZNF672,-0.097568161,23.5648721,21.82793319,-2820.134355,-2825.166853,0.04367376
PDDC1,0.463435688,10,14.03010154,-2118.255764,-2123.287732,0.043687345
TTLL7,-0.384716943,78.4122227,59.29847964,-9298.636545,-9303.667712,0.04371183
SPTB,-0.979145766,22.86224761,10.72879705,-3401.926367,-3406.956845,0.043731823
INSIG2,-0.122050803,30.92684746,27.63227243,-3511.887783,-3516.916724,0.043785838
ZFHX2,-0.088360427,31.58711672,30.85086416,-5029.64533,-5034.67379,0.043797531
MANSC1,-0.120926947,54.21127799,51.14507234,-7529.332452,-7534.360044,0.043819804
SPRY1,0,10,10,-1268.080927,-1273.108453,0.043819804
RASGRP4,0,10,10,-610.7046776,-615.7318136,0.043827842
CHST14,-0.618050633,59.92356366,37.67572126,-6053.211412,-6058.236629,0.043897336
PPP6R3,-0.174466168,80.37333806,72.27154625,-9673.992704,-9679.015381,0.043991959
SPRED3,0.498383414,31.1708073,46.61717868,-6088.144809,-6093.166437,0.044026606
UBE2E3,0.683040353,36.75618533,62.90525778,-6038.227389,-6043.248391,0.044044214
NEK9,0.08100438,37.29052959,41.4448782,-5841.035536,-5846.055045,0.044096837
THAP8,0.008011881,10,10,-2091.160727,-2096.17969,0.044111224
FAM114A1,-0.578578896,16.37980558,10,-1761.191368,-1766.209391,0.044141599
STAT5B,0.04059008,15.76454045,16.42595663,-3732.456272,-3737.473981,0.044146623
FBLIM1,-0.263987794,12.27778075,10,-1587.84683,-1592.863922,0.044163926
COL9A2,0.234593287,10,12.04566413,-1467.651045,-1472.666508,0.044222201
DNAJC16,-0.301623834,42.64638468,34.91960134,-6318.986967,-6324.001998,0.044232
DGKE,0,10,10,-1315.024378,-1320.038356,0.044267001
FNIP1,0.430060077,46.43596734,63.57888716,-8046.219479,-8051.232208,0.044310014
HS6ST2,0,10,10,-729.9287682,-734.9409867,0.044323064
RAPGEF5,-0.609150272,38.49790237,23.36444156,-5029.087757,-5034.097351,0.044422022
PIK3R5,0,10,10,-219.3905202,-224.398568,0.044477278
PDCD6IP,-0.505251537,96.03548908,65.85965834,-10140.83438,-10145.84166,0.044500755
MYT1L,0.10578061,10,11.10704981,-1295.238365,-1300.244757,0.044529351
KDM7A,0.747283211,18.83810893,33.43269016,-4650.757301,-4655.759707,0.044684475
CACNA1F,0,10,10,-115.9944909,-120.9953136,0.044741542
DACT3,0.054078078,10,10.45035097,-1820.714274,-1825.71409,0.044767303
KIZ,0.743164088,15.48500904,26.60614776,-2907.522697,-2912.522574,0.044767303
PANX1,-0.703992448,17.58089618,10,-1847.719457,-1852.71816,0.044805215
NDUFS8,0.716980445,38.04739541,66.53766311,-7252.580476,-7257.578033,0.044844503
MORN2,-0.048080365,50.46628458,48.86871085,-5800.016895,-5805.011309,0.044965972
GART,-0.437479644,40.88738867,29.92387711,-5834.768667,-5839.762403,0.044978346
GLYATL1,-0.146225269,12.32169615,10,-1107.291218,-1112.284955,0.044978346
MRPS18B,0.011910315,61.1858938,63.36456611,-7479.973765,-7484.965739,0.045043157
NCOR1,-0.176017567,95.68590623,85.51005144,-11253.09445,-11258.08597,0.045046198
PEX14,-0.615732943,24.59807954,16.05464861,-3469.303595,-3474.295296,0.045046198
LRRC37A2,0,10,10,-536.3031861,-541.2932129,0.045100156
ASTN2,-0.37427486,49.52327746,38.18897742,-5636.247181,-5641.237001,0.045100879
NUDC,-0.380066373,175.9846316,132.130135,-15216.41959,-15221.40922,0.045100925
CLN5,0.117953335,24.23285967,25.94330185,-5009.607739,-5014.596818,0.045108134
STAT6,-0.70084234,24.0928262,14.43516549,-3799.351724,-3804.340978,0.045108134
RTN2,-0.399336669,36.50109135,27.88352952,-5238.853083,-5243.840994,0.045148597
NR1D1,0.488909719,10.17061047,14.87625376,-1582.041288,-1587.02864,0.045163942
XKR6,0.268224508,10.97286581,13.76412442,-3010.298566,-3015.285525,0.045172397
DNM2,-0.233594458,68.79931161,59.21197811,-8540.322519,-8545.307614,0.045241739
FAM46C,0.033989988,32.58742368,32.64291606,-5877.453104,-5882.437864,0.045247835
CLVS1,0,10,10,-186.7065875,-191.6897649,0.045305602
ANKRD9,0,10,10,-731.6036095,-736.5844144,0.045390047
RLN1,0,10,10,-368.76301,-373.7437765,0.045390047
DIAPH2,0.154766282,14.04755599,15.85951702,-3651.651926,-3656.632307,0.045398239
NDUFA1,0.310914121,193.6137517,244.4194275,-18541.53548,-18546.51403,0.045466615
SLC44A1,-0.295352529,137.1702144,110.0464758,-13623.06582,-13628.04402,0.04547326
RANBP3,-0.116366276,69.35759566,65.42218816,-8484.010593,-8488.986901,0.045539692
TMEM101,-0.548713874,66.23162663,43.67961007,-7840.593923,-7845.570152,0.045539692
PPP1R12C,0.716593515,10,17.68207958,-2216.967745,-2221.942516,0.045584844
ZNF22,-0.553224506,71.52715512,46.74042274,-7022.550498,-7027.52528,0.045584844
LRP5L,-1.03716341,21.32990131,10,-2909.023861,-2913.997695,0.0456161
CCDC149,0.012777544,10.16837108,10,-2181.036564,-2186.008401,0.045691689
TRABD,-0.968207516,38.84609546,18.46106848,-3948.286552,-3953.256589,0.045759142
PAFAH1B3,-0.070668876,225.710605,217.6182285,-18109.47842,-18114.44769,0.045783115
EP300,0.085916591,130.6327284,137.7623412,-14667.25787,-14672.22585,0.045828768
PGM1,-0.367420821,81.62110773,62.87267295,-9231.924012,-9236.891824,0.045828768
DLEU1,-1.146172245,24.37051765,10.13013629,-3076.442374,-3081.409005,0.04587044
ARL6,-0.504183993,28.05179082,19.80500064,-3404.773966,-3409.740271,0.045875105
USP9X,-0.310564582,187.5050693,149.1160139,-15435.84464,-15440.81079,0.045875105
TGFBR1,-0.482057836,92.28486982,64.37098434,-8928.219051,-8933.182214,0.045992509
ADAP1,0.224792402,10,12.45160669,-1315.472777,-1320.433848,0.046072736
DESI1,-0.565617213,46.11418838,30.52254616,-5110.540385,-5115.499247,0.046158044
GRB10,-0.077268112,82.84574768,77.92094455,-10780.08579,-10785.04325,0.046201491
SMG7,-0.075683346,60.48794356,58.94370575,-8114.577377,-8119.535019,0.046201491
RANBP1,0.037956981,50.99304656,54.27110945,-7811.558331,-7816.515548,0.046203781
AARS2,0,10,10,-410.7800576,-415.7358629,0.046255563
MINDY4,0,10,10,-736.5324265,-741.4865548,0.046318647
FAM172A,-0.658167358,37.20012923,23.08768419,-4754.636665,-4759.590569,0.046320211
ERC1,-0.31900034,69.33890528,54.40379627,-9179.637582,-9184.590311,0.046362076
TGDS,-0.352292283,12.80429782,10,-1842.857669,-1847.809374,0.046397535
REEP2,0.199507515,105.6229657,120.5318438,-12428.5819,-12433.53226,0.046446909
FAM13B,-0.25682853,24.35117155,19.32201931,-4355.289299,-4360.238896,0.046471195
C11orf1,0.605783203,27.95298296,44.43525475,-4577.139234,-4582.088394,0.046478053
MARS2,0,10,10,-1479.313937,-1484.262998,0.046478053
MGA,-0.496332769,45.61564827,30.03708561,-5721.476479,-5726.423114,0.046573316
PLEKHF2,0.584281078,32.83212823,51.35603789,-5189.353,-5194.298637,0.046607883
SPARC,0,10,10,-311.1084437,-316.0538645,0.046609139
IQCG,-0.536774076,15.42197067,10,-1472.036279,-1476.980896,0.046635472
GLS2,0.803773221,10,18.2012301,-2224.069918,-2229.012432,0.046702954
MFSD14B,-0.315147413,17.38576197,14.31623766,-3315.868332,-3320.810812,0.046702954
SYT9,0.371345292,10,13.53694535,-1586.225657,-1591.168131,0.046702954
RAB3GAP2,-0.149281182,163.9339561,147.073681,-15989.27996,-15994.22211,0.046708888
KANTR,0,10,10,-411.8322606,-416.7741297,0.046712807
USP21,-0.979284785,36.30471689,17.06012806,-3736.264273,-3741.205202,0.046744967
C15orf40,-0.85708625,28.54683337,14.99448486,-3037.05435,-3041.994104,0.046784555
PIAS3,-0.505914967,51.40287791,35.6644789,-6504.569881,-6509.509512,0.046784555
METTL21B,0,10,10,-1061.265084,-1066.204122,0.046801925
RAB24,0.167659479,10,11.83447242,-1236.304747,-1241.243224,0.04680989
SMCO4,0.52171982,36.09412255,53.72556719,-7046.490918,-7051.429413,0.04680989
GON7,-0.359837929,29.15802334,23.08709882,-4466.909397,-4471.846447,0.046863048
NEDD1,-0.667531622,26.68392851,16.56082878,-2999.263805,-3004.198595,0.046950102
SCN11A,0,10,10,-395.2361683,-400.1708156,0.046950102
CAMK1,-0.503473231,41.63946701,29.23889245,-5311.119162,-5316.048976,0.047144598
TMEM39B,-0.537722391,20.91343835,14.58295258,-3335.241284,-3340.171038,0.047144598
CEP250,-0.758186109,24.04455389,13.97802834,-3511.848676,-3516.775065,0.047281826
RIMBP2,-0.238485191,196.4604933,165.8270383,-15872.45688,-15877.37937,0.04744289
USF3,-0.555131189,29.13360307,18.76957341,-4662.888845,-4667.810702,0.047462011
CCDC66,0.278787322,26.24419968,32.32307862,-5573.547635,-5578.468747,0.047470045
EMSY,-0.519353289,23.19132427,16.29540194,-3005.56363,-3010.484825,0.047470045
TTC9C,-0.42696532,41.0947294,30.67103621,-4997.11028,-5002.031523,0.047470045
ZBTB22,-0.436237087,13.69832639,10,-1870.937718,-1875.858555,0.047473885
SPOP,0.128505006,123.1032345,132.8839305,-13445.76286,-13450.6811,0.047578879
C6orf141,0,10,10,-1291.27567,-1296.191727,0.047665602
NUS1,-0.527005712,79.226323,53.24242841,-7642.371503,-7647.286598,0.0476994
TXNL1,0.46321503,72.65152035,103.7678705,-11084.15272,-11089.06711,0.047722114
HMGCS2,0,10,10,-375.0394782,-379.9524639,0.047775202
ACACA,-0.159749369,72.75684929,66.23499822,-9168.844345,-9173.756515,0.047802702
DRC7,-0.815622645,18.9595061,10,-1865.365776,-1870.277671,0.047806564
ATP6V1E2,-0.036451463,10.93720933,10,-908.9489214,-913.8603827,0.047817383
RALGAPB,-0.502291784,64.12285515,44.54818064,-7147.579303,-7152.489996,0.047842829
CLIC1,0.096527804,199.549959,211.7918812,-18388.72723,-18393.63725,0.047863906
CFAP69,0,10,10,-301.4136202,-306.3230153,0.047883327
CPNE3,-0.419726853,114.4538456,83.66336238,-11586.78412,-11591.69141,0.047967501
JAM2,0,10,10,-663.1847535,-668.0907595,0.048015586
WDR46,-0.881928227,34.23850414,17.62702699,-4694.011275,-4698.916456,0.048043622
POLA1,0,10,10,-1146.848353,-1151.750923,0.048150244
VGLL4,-0.476143428,59.87075315,41.06936972,-7532.972534,-7537.874877,0.048152036
SLC26A6,0,10,10,-1461.087929,-1465.989874,0.048161383
HIVEP1,-0.523054237,14.25720271,10,-2161.135973,-2166.037128,0.048187994
PLEKHA2,0,10,10,-540.2227381,-545.1219592,0.048265051
SDHAF4,0.226497659,10,12.24167119,-1424.539672,-1429.438195,0.048279494
YWHAG,0.101376883,220.5751096,241.9453454,-18130.54724,-18135.44576,0.048279494
DDOST,-0.469661891,106.7965393,73.85411797,-11224.91602,-11229.8137,0.048308564
FGD4,-0.408260773,84.53938424,62.16926257,-9867.006657,-9871.903672,0.048329599
AHSA2,-0.08269573,22.36969988,21.60027932,-4616.698645,-4621.595301,0.048337256
GCNT1,-0.410521955,168.3330058,123.2921647,-14561.7787,-14566.67454,0.048364903
C1GALT1C1,-0.570389056,47.21346241,30.58508278,-6467.847176,-6472.742224,0.0483919
COQ6,0.592044134,14.10801737,22.03118705,-3893.801409,-3898.695886,0.048392901
MALL,0.403757956,14.80754629,20.64244394,-3831.107339,-3836.001808,0.048392901
PRR12,-0.76146194,53.37621769,29.42263838,-6518.531605,-6523.426236,0.048392901
CTDSP2,-0.290714143,66.76263404,54.05066699,-6965.002535,-6969.896416,0.048410646
AKAP17A,0.199830004,29.49453513,35.83747754,-4433.93107,-4438.823523,0.048465674
ACAD8,-0.521090157,68.07490318,46.47959039,-7708.939127,-7713.829336,0.048556954
DDIT4,-0.726622122,20.25750972,12.18531932,-2539.035026,-2543.924855,0.048565563
HMGA2,0.295214326,15.84827532,20.34723727,-3557.68736,-3562.575949,0.048612438
RECK,0,10,10,-731.5623669,-736.4487511,0.0487022
PCDH10,0,10,10,-587.4701561,-592.3550529,0.048760188
SNHG19,-0.164899357,52.33200782,44.35857902,-6294.022196,-6298.906173,0.048792948
ANKZF1,-0.721253289,26.02356345,14.71099875,-2651.524555,-2656.406359,0.048881661
ADI1,0.650642306,44.39795534,73.33217105,-7628.12018,-7633.00035,0.048946379
CEL,0,10,10,-230.9483875,-235.8243479,0.049125729
CFAP65,-0.475698733,27.08868519,19.56087577,-4052.300533,-4057.176331,0.049125729
KCTD20,-0.770867126,58.61745275,32.35345597,-6388.456226,-6393.331658,0.049128608
RRP9,0.580218429,10,16.0752843,-1914.040758,-1918.91612,0.049128608
IFT88,-1.020904719,22.88566398,10.61013373,-3318.986047,-3323.861022,0.049137708
TRAF3,-0.309893503,43.13904063,35.20614865,-5985.826137,-5990.700401,0.049161306
DIAPH1,-0.713034343,52.72766288,29.78179087,-6094.389233,-6099.263287,0.049162401
COPS7A,0.076089486,72.68723977,74.74385894,-8816.40857,-8821.278269,0.049350081
REG1A,0,10,10,-103.6883428,-108.5569763,0.049389782
CNN3,-0.394751545,55.78397654,42.20936462,-5930.789234,-5935.657459,0.049399861
CRTC2,-0.624987941,40.81471242,25.9305649,-5210.112907,-5214.980203,0.04943346
SLC20A2,0.001761731,21.36289275,22.04331234,-4485.826714,-4490.692244,0.049504908
C6orf226,0.094518638,35.50516468,38.14655058,-6461.4789,-6466.342242,0.049595587
CCDC30,0.46003392,11.90057229,16.29436495,-2600.708449,-2605.570769,0.049633486
ZNF436,-0.454791906,28.31063684,20.80508666,-3899.193776,-3904.055476,0.049653219
FAM184A,-1.027082704,23.14487735,10.54285893,-3204.952736,-3209.813687,0.049678842
AIG1,0.495752067,37.07091548,54.54628446,-7355.032619,-7359.888548,0.049891543
PSPC1,-0.321222451,94.0014078,74.85882914,-9637.863874,-9642.719778,0.049891543
ZNF740,-0.32354657,12.30565789,10.03598039,-2056.689449,-2061.544409,0.049926167
ARPIN,-0.017040888,10,10,-2394.747907,-2399.602274,0.049944808
DKFZP434I0714,0,10,10,-193.0896809,-197.942976,0.049985263
ZC3H8,-0.546230753,15.96572098,11.12834994,-2524.532073,-2529.383986,0.050039928
DGKK,0,10,10,-134.6015945,-139.4527999,0.050063862
MIR100HG,0,10,10,-427.2785178,-432.1288878,0.050068267
POLD1,0,10,10,-349.9629215,-354.8133358,0.050068267
QKI,0.050060152,30.54196755,31.85812812,-3843.34378,-3848.194234,0.050068267
ST5,-0.859876295,46.02221212,23.87490426,-5137.831345,-5142.682082,0.050068267
YWHAE,-0.127195411,1020.709595,931.4425979,-33184.02806,-33188.87767,0.050094552
TMEM246,0.119315162,82.61191558,89.03210338,-11237.00573,-11241.85343,0.050173568
ZBTB46,-0.86267748,23.91686724,12.74575782,-3251.973571,-3256.820985,0.050178226
ACTR8,-0.43077693,19.16983579,14.12464044,-3565.971582,-3570.81865,0.050185628
SLC25A51,-0.423779511,23.95594716,17.598307,-4163.835741,-4168.681906,0.050218572
KCTD14,0,10,10,-108.4975907,-113.3417978,0.050291505
PTGES3,0.150103127,234.0812595,258.8345006,-19331.81671,-19336.66109,0.050291505
RGS12,-0.847047374,40.33428789,21.2904109,-4724.636911,-4729.479425,0.050360856
EIF4E,-0.006280424,160.5940441,163.2778373,-15287.04385,-15291.88513,0.050391103
MLLT10,-0.34707471,46.39819207,35.44748748,-6871.782393,-6876.623417,0.050391103
RNF32,0,10,10,-951.0257011,-955.8666931,0.050391103
VPS26A,-0.066139998,27.11188622,27.07666624,-4427.649304,-4432.490238,0.050391103
ZWILCH,-0.509768601,14.59995084,10,-1834.624847,-1839.46604,0.050391103
HIVEP2,-0.366283134,13.95596445,10,-1173.268865,-1178.109403,0.050400852
DNAJB2,0.55557437,43.00366699,64.88770094,-7702.125324,-7706.96231,0.050547627
PLCXD1,-0.369412849,56.53756012,42.75730789,-5737.609377,-5742.446411,0.050547627
CLDN15,-0.032834455,20.71136747,21.17951744,-2918.697917,-2923.534275,0.050568097
GDI1,-0.051652587,308.5315171,300.1526718,-22374.42748,-22379.26207,0.050641203
NF1,0.061472297,85.97754962,89.62186238,-11459.38697,-11464.21916,0.050744012
RASSF10,0.279142444,26.75583254,31.68757868,-4333.755804,-4338.586889,0.050786563
FBXL13,0,10,10,-398.0398733,-402.8706638,0.050791673
SHISA9,0,10,10,-337.4986979,-342.3291386,0.050793884
STK38L,-0.671258476,26.9638674,16.67659809,-3119.471743,-3124.302117,0.050793884
CD164L2,0,10,10,-134.3570233,-139.1868186,0.050806315
SLC37A4,0.166279411,91.49326794,103.6234246,-12433.11493,-12437.94467,0.050806315
XKR7,-0.458987125,52.96282142,38.30846883,-6293.357334,-6298.185791,0.050857293
EXT2,-0.294774895,47.47543178,39.0694635,-6705.573989,-6710.402216,0.050859409
C2orf69,-0.313867214,73.19489401,58.54660744,-9046.518227,-9051.345706,0.050885602
LRIF1,0.776519394,16.69327533,29.38177998,-3918.4858,-3923.312872,0.050887407
STK32C,-0.082565696,18.59294731,18.50500455,-3327.525997,-3332.35317,0.050887407
ACSL6,0,10,10,-740.7569413,-745.5837698,0.050890193
DHX33,-0.696143108,33.16798147,19.86568482,-4567.773905,-4572.597016,0.051054633
SDC4,-0.825059585,30.47330528,16.10043767,-2974.943413,-2979.760478,0.051328638
SPRYD4,0.010033729,49.385086,47.94438098,-6670.362067,-6675.176798,0.051426837
THG1L,-0.406826923,24.99912038,17.27763418,-3206.729875,-3211.544479,0.051426837
HIST1H3D,0,10,10,-218.5873137,-223.4006626,0.051477171
WDR18,-0.171023113,149.1382487,131.8137049,-13123.09208,-13127.90509,0.051484657
ILDR2,0.183677049,16.07624442,19.42639088,-3581.279445,-3586.092215,0.051487121
KCTD11,-0.756092476,20.62372279,11.98279558,-3162.72342,-3167.534243,0.051570068
DCTPP1,-1.151519084,23.03617562,10,-2874.515325,-2879.324876,0.051621313
OLMALINC,0.528767167,23.85214384,34.76838655,-4773.411273,-4778.219667,0.051665995
PIM1,-0.238952606,12.57053366,10,-1235.83554,-1240.643762,0.051665995
RNPS1,-0.384152759,203.8806652,152.0488931,-16232.301,-16237.10906,0.051665995
PIGP,0.322340545,102.3544091,129.1202296,-11829.83575,-11834.64361,0.051666801
ALKBH6,0,10,10,-1686.842627,-1691.650179,0.051672307
TSGA10,0.126008059,22.21370023,24.69112022,-4759.60828,-4764.415396,0.051684211
SIK3,0.017420775,57.42605126,60.11494829,-8191.867766,-8196.674469,0.051695061
KANSL2,-0.423220238,61.04490975,45.29021524,-6974.109667,-6978.915488,0.051728036
SRP72,-0.171254638,269.3376638,239.3064239,-19609.7245,-19614.52953,0.051756893
TOP2A,0,10,10,-324.8793665,-329.6812887,0.051895054
DHX9,0.26251248,117.7048927,145.9357881,-14471.41708,-14476.21826,0.051915173
ZBTB1,-0.34041058,19.39860746,15.30937632,-3788.767479,-3793.56861,0.051915173
FIBP,-0.098583452,135.0895083,126.1956584,-14292.55561,-14297.35585,0.05193534
HMP19,0,10,10,-645.1904735,-649.9906293,0.05193534
